0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:34 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:38 +0900] "GET /JspStudy/ProjectFile/bootEx/bootRegisteger.jsp HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:50 +0900] "GET /JspStudy/ProjectFile/bootEx/bootRegisteger.jsp HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:11:09 +0900] "POST /JspStudy/ProjectFile/bootEx/bootRegisterProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:11:09 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 10291
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:11:09 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:11:09 +0900] "GET /JspStudy/ProjectFile/bootEx/images/kb.png HTTP/1.1" 200 38933
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:13:32 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 10381
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:13:32 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:13:32 +0900] "GET /JspStudy/ProjectFile/bootEx/images/kb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:13:32 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:13:41 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=kb HTTP/1.1" 200 6679
